"","Label","Type","0- Reference","1- length only logistic","1b- length only logistic","2- length only dome","2b- length only dome","3a- age only_est LH","3b- age only_est LH rec devs","4a- lengths and ages","4b- lengths and ages rec devs","5a- catch length logistic","5b- catch length logistic rec devs","6a- catch length dome","6b- catch length dome rec devs","7a- catch ages","7b- catch ages rec devs","8a- catch length ages","8b- catch length ages rec devs"
"135",NA,"Main_RecrDev_1999",0.631345,NA,-1.5416,NA,-1.48606,NA,0.822987,NA,0.756017,NA,-1.43945,NA,-1.50358,NA,0.680585,NA,0.724775
"136",NA,"Main_RecrDev_2000",0.732128,NA,1.30806,NA,1.43775,NA,1.07599,NA,0.943492,NA,1.25455,NA,1.36495,NA,0.952695,NA,0.874921
"137",NA,"Main_RecrDev_2001",0.309175,NA,1.09407,NA,1.21061,NA,0.568413,NA,0.543887,NA,0.975053,NA,1.04653,NA,0.380564,NA,0.463261
"138",NA,"Main_RecrDev_2002",-0.447303,NA,-1.62163,NA,-1.6536,NA,-0.792785,NA,-0.658785,NA,-1.45222,NA,-1.63476,NA,-0.665967,NA,-0.703061
"139",NA,"Main_RecrDev_2003",0.54202,NA,1.40457,NA,1.55926,NA,0.696824,NA,0.80208,NA,1.26877,NA,1.3895,NA,0.532996,NA,0.772264
"140",NA,"Main_RecrDev_2004",-1.01491,NA,-1.53907,NA,-1.58107,NA,-3.8655,NA,-4.13308,NA,-1.2459,NA,-1.52382,NA,-2.53436,NA,-4.00738
"141",NA,"Main_RecrDev_2005",0.541606,NA,1.25748,NA,1.42022,NA,0.62629,NA,0.721234,NA,1.2263,NA,1.3414,NA,0.488697,NA,0.754404
"142",NA,"Main_RecrDev_2006",0.0420571,NA,-1.64858,NA,-1.64146,NA,0.0474737,NA,0.0114953,NA,-1.39453,NA,-1.64239,NA,0.0402771,NA,0.0807472
"143",NA,"Main_RecrDev_2007",-0.278193,NA,1.33267,NA,1.48709,NA,-0.173026,NA,-0.257758,NA,1.34455,NA,1.46546,NA,-0.166896,NA,-0.168539
"144",NA,"Main_RecrDev_2008",0.980774,NA,-1.70026,NA,-1.5615,NA,1.14122,NA,1.01995,NA,-1.27636,NA,-1.48578,NA,1.07538,NA,1.09874
"145",NA,"Main_RecrDev_2009",-0.361975,NA,0.712436,NA,0.857867,NA,-0.238905,NA,-0.417995,NA,0.81976,NA,0.922042,NA,-0.279761,NA,-0.354647
"146",NA,"Main_RecrDev_2010",0.497906,NA,1.13134,NA,1.28171,NA,0.813731,NA,0.566634,NA,1.26477,NA,1.38839,NA,0.652079,NA,0.611814
"147",NA,"Main_RecrDev_2011",0.419614,NA,-1.22111,NA,-1.20332,NA,0.801049,NA,0.488057,NA,-1.00687,NA,-1.28064,NA,0.561482,NA,0.509742
"148",NA,"Main_RecrDev_2012",0.212016,NA,0.803736,NA,0.983145,NA,0.709754,NA,0.34532,NA,0.902577,NA,1.03422,NA,0.382766,NA,0.337218
"149",NA,"Main_RecrDev_2013",0.56402,NA,0.811136,NA,0.972727,NA,1.17334,NA,0.748256,NA,0.748679,NA,0.864857,NA,0.756972,NA,0.719854
"150",NA,"Main_RecrDev_2014",0.481088,NA,-1.09413,NA,-1.19953,NA,1.15669,NA,0.698774,NA,-0.992649,NA,-1.19301,NA,0.687477,NA,0.671706
"151",NA,"Main_RecrDev_2015",-0.243498,NA,1.19081,NA,1.35032,NA,0.426638,NA,-0.00255125,NA,1.14269,NA,1.25391,NA,-0.0650454,NA,-0.0204417
"152",NA,"Main_RecrDev_2016",0.77026,NA,-1.39785,NA,-1.73459,NA,1.41389,NA,0.991085,NA,-1.38696,NA,-1.68967,NA,0.878934,NA,0.996117
"153",NA,"Main_RecrDev_2017",-0.637062,NA,0.49601,NA,0.698634,NA,-0.315119,NA,-0.552501,NA,0.549541,NA,0.677747,NA,-0.70269,NA,-0.526621
"154",NA,"Late_RecrDev_2018",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
"155",NA,"Late_RecrDev_2019",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
"156",NA,"Late_RecrDev_2020",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
"157",NA,"Late_RecrDev_2021",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
"158",NA,"Late_RecrDev_2022",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
"159",NA,"ForeRecr_2023",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0
"160",NA,"InitF_seas_1_flt_1Trawl_wdis",1e-20,NA,NA,NA,NA,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
"161",NA,"InitF_seas_1_flt_2Non-Trawl_wdis",1e-20,NA,NA,NA,NA,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
"162",NA,"InitF_seas_1_flt_3Ocean",1e-20,NA,NA,NA,NA,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
"163",NA,"InitF_seas_1_flt_4Shore",1e-20,NA,NA,NA,NA,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
"164",NA,"LnQ_base_Non-Trawl_wdis(2)",-5.81714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165",NA,"Q_extraSD_Non-Trawl_wdis(2)",0.0279839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166",NA,"LnQ_base_Ocean(3)",-9.23356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167",NA,"Q_extraSD_Ocean(3)",0.283645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
