"","Label","Type","00- Reference Model","01- No Acoustic visual","02- No tagging index","03- No non-trawl index","04- No ORBS index","05- No MRFSS index","06- No MPA index","07- Add SMURF index","08- No data-weighting","09- Dirichlet","10- McA-I","11- 2015 Catch history","12- Sex=3","13- Sex=3, est M","14- No age bias"
"47",NA,"SMURF",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"48","Age_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",NA,"ALL",3803.21,3803.85,3803.05,3807.44,3802.82,3804.39,3803.08,3803.35,16629.1,33753,2126.69,3808.61,4004.56,3928.96,3724.4
"50",NA,"Trawl_wdis",748.228,747.993,747.967,746.735,748.927,749.131,748.443,748.283,1141.4,1839.94,626.602,751.181,382.964,388.807,761.697
"51",NA,"Non.Trawl_wdis",1304.37,1304.76,1303.92,1306.88,1303.77,1304.25,1304.26,1304.35,5817.44,12823.5,835.037,1305.77,2291.29,2243.06,1259.18
"52",NA,"Ocean",1750.61,1751.1,1751.16,1753.83,1750.12,1751.01,1750.39,1750.72,9670.28,19089.6,665.047,1751.66,1330.31,1297.1,1703.52
"53",NA,"Shore",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",NA,"Acoustic_Visual",0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
"55",NA,"Tag",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
"56",NA,"MRFSS",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"57",NA,"MPA",0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"58",NA,"SMURF",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"59","Age_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",NA,"Trawl_wdis",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"62",NA,"Non.Trawl_wdis",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"63",NA,"Ocean",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"64",NA,"Shore",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65",NA,"Acoustic_Visual",0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",NA,"Tag",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
"67",NA,"MRFSS",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"68",NA,"MPA",0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"69",NA,"SMURF",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"70","Parameters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",NA,"NatM_uniform_Fem_GP_1",0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.233972,0.19
"72",NA,"L_at_Amin_Fem_GP_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",NA,"L_at_Amax_Fem_GP_1",51.0018,50.9802,51.0028,51.0385,50.9935,50.9608,51.0025,51.0018,54.087,54.06,50.1444,51.0193,50.4212,51.0515,51.0993
"74",NA,"VonBert_K_Fem_GP_1",0.181595,0.181675,0.181587,0.181539,0.181607,0.181698,0.181587,0.181584,0.162663,0.162701,0.188429,0.181563,0.18307,0.178638,0.18462
"75",NA,"CV_young_Fem_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"76",NA,"CV_old_Fem_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"77",NA,"Wtlen_1_Fem_GP_1",2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05
"78",NA,"Wtlen_2_Fem_GP_1",2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504
"79",NA,"Mat50%_Fem_GP_1",40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36
"80",NA,"Mat_slope_Fem_GP_1",-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418
"81",NA,"Eggs_scalar_Fem_GP_1",1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08
"82",NA,"Eggs_exp_len_Fem_GP_1",4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685
"83",NA,"NatM_uniform_Mal_GP_1",0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.230704,0.17
"84",NA,"L_at_Amin_Mal_GP_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85",NA,"L_at_Amax_Mal_GP_1",46.0356,46.007,46.0357,46.1576,46.0077,45.9616,46.0345,46.0358,46.5318,46.7316,46.3321,46.0766,44.9083,45.4148,45.8513
